id,date,mean_price,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
9834201370,20150417T000000,mid,430100,3,2.25,1400,1078,2,0,0,3,8,940,460,2009,0,98144,475701,-122288,1420,1230
9578500690,20150327T000000,mid,430236,4,3.25,3444,5166,2,0,0,3,8,2714,730,2014,0,98023,472966,-122348,2848,5182
7237450190,20140806T000000,mid,430760,5,2.75,2710,4685,2,0,0,3,8,2710,0,2014,0,98038,473555,-122062,2710,4449
726049190,20150218T000000,mid,431000,3,1,1810,7200,1,0,0,4,7,1130,680,1954,0,98133,477493,-122351,1810,8100
6116500028,20150503T000000,mid,431000,3,1.75,1630,9000,1,0,0,4,7,1630,0,1956,0,98166,474521,-122.36,1600,11120
5634500415,20140715T000000,mid,431000,3,2.5,1710,12677,2,0,0,3,8,1710,0,1996,0,98028,47.75,-122234,1610,12160
5160700035,20150422T000000,mid,431000,2,1.5,1300,4000,1.5,0,0,4,6,1300,0,1900,0,98144,475937,-122301,1480,4000
5469501200,20140820T000000,mid,431000,3,2.25,2360,14950,1,0,0,4,9,2360,0,1978,0,98042,473856,-122158,2720,14388
8651720060,20150202T000000,mid,431000,3,2.25,1830,8831,1,0,0,3,7,1460,370,1979,0,98034,477286,-122215,2330,8064
7625703405,20140910T000000,mid,431000,2,1,1000,6500,1,0,0,4,7,1000,0,1918,0,98136,475474,-122388,1280,6500
3204800040,20141103T000000,mid,431000,3,1.75,1660,12865,1,0,0,5,7,1660,0,1967,0,98056,475375,-122175,1610,12400
7525211520,20150318T000000,mid,431000,3,2.5,1690,2752,2,0,0,3,8,1690,0,1979,0,98052,476332,-122108,1690,2855
7744500020,20140826T000000,mid,431000,2,2,1390,12530,1,0,0,3,8,970,420,1959,0,98155,477499,-122.29,1940,12530
1250200595,20140724T000000,mid,431000,4,2.5,1450,3600,1.5,0,0,3,7,1250,200,1902,0,98144,475985,-122298,1680,3600
8029550020,20140701T000000,mid,431000,4,2.5,2300,6087,2,0,0,3,7,2300,0,2001,0,98056,475125,-122192,1770,5907
4427100130,20150304T000000,mid,431000,3,1,1500,6240,1,0,0,4,7,1500,0,1953,0,98125,477281,-122311,1230,6240
8576400050,20140509T000000,mid,431000,4,2.25,2170,10500,1,0,2,4,8,1270,900,1960,0,98166,474394,-122338,2080,11019
